ticker,name,sector,sub_industry
A,AGILENT TECHNOLOGIES INC,Healthcare,Diagnostics & Research
AAPL,APPLE INC,Technology,Consumer Electronics
ABBV,ABBVIE INC,Healthcare,Drug Manufacturers - General
ABNB,AIRBNB INC CLASS A,Consumer Cyclical,Travel Services
ABT,ABBOTT LABORATORIES,Healthcare,Medical Devices
ACGL,ARCH CAPITAL GROUP LTD,Financial Services,Insurance - Diversified
ACN,ACCENTURE PLC CL A,Technology,Information Technology Services
ADBE,ADOBE INC,Technology,Software - Application
ADI,ANALOG DEVICES INC,Technology,Semiconductors
ADM,ARCHER DANIELS MIDLAND CO,Consumer Defensive,Farm Products
ADP,AUTOMATIC DATA PROCESSING,Technology,Software - Application
ADSK,AUTODESK INC,Technology,Software - Application
AEE,AMEREN CORPORATION,Utilities,Utilities - Regulated Electric
AEP,AMERICAN ELECTRIC POWER,Utilities,Utilities - Regulated Electric
AES,AES CORP,Utilities,Utilities - Diversified
AFL,AFLAC INC,Financial Services,Insurance - Life
AIG,AMERICAN INTERNATIONAL GROUP,Financial Services,Insurance - Diversified
AIZ,ASSURANT INC,Financial Services,Insurance - Property & Casualty
AJG,ARTHUR J GALLAGHER + CO,Financial Services,Insurance Brokers
AKAM,AKAMAI TECHNOLOGIES INC,Technology,Software - Infrastructure
ALB,ALBEMARLE CORP,Basic Materials,Specialty Chemicals
ALGN,ALIGN TECHNOLOGY INC,Healthcare,Medical Instruments & Supplies
ALL,ALLSTATE CORP,Financial Services,Insurance - Property & Casualty
ALLE,ALLEGION PLC,Industrials,Security & Protection Services
AMAT,APPLIED MATERIALS INC,Technology,Semiconductor Equipment & Materials
AMCR,AMCOR PLC,Consumer Cyclical,Packaging & Containers
AMD,ADVANCED MICRO DEVICES,Technology,Semiconductors
AME,AMETEK INC,Industrials,Specialty Industrial Machinery
AMGN,AMGEN INC,Healthcare,Drug Manufacturers - General
AMP,AMERIPRISE FINANCIAL INC,Financial Services,Asset Management
AMT,AMERICAN TOWER CORP,Real Estate,REIT - Specialty
AMZN,AMAZON.COM INC,Consumer Cyclical,Internet Retail
ANET,ARISTA NETWORKS INC,Technology,Computer Hardware
AON,AON PLC CLASS A,Financial Services,Insurance Brokers
AOS,SMITH (A.O.) CORP,Industrials,Specialty Industrial Machinery
APA,APA CORP,Energy,Oil & Gas E&P
APD,AIR PRODUCTS + CHEMICALS INC,Basic Materials,Specialty Chemicals
APH,AMPHENOL CORP CL A,Technology,Electronic Components
APO,APOLLO GLOBAL MANAGEMENT INC,Financial Services,Asset Management
APP,APPLOVIN CORP CLASS A,Communication Services,Advertising Agencies
APTV,APTIV PLC,Consumer Cyclical,Auto Parts
ARE,ALEXANDRIA REAL ESTATE EQUIT,Real Estate,REIT - Office
ARES,ARES MANAGEMENT CORP   A,Financial Services,Asset Management
ATO,ATMOS ENERGY CORP,Utilities,Utilities - Regulated Gas
AVGO,BROADCOM INC,Technology,Semiconductors
AVY,AVERY DENNISON CORP,Consumer Cyclical,Packaging & Containers
AWK,AMERICAN WATER WORKS CO INC,Utilities,Utilities - Regulated Water
AXON,AXON ENTERPRISE INC,Industrials,Aerospace & Defense
AXP,AMERICAN EXPRESS CO,Financial Services,Credit Services
AZO,AUTOZONE INC,Consumer Cyclical,Auto Parts
BA,BOEING CO/THE,Industrials,Aerospace & Defense
BAC,BANK OF AMERICA CORP,Financial Services,Banks - Diversified
BALL,BALL CORP,Consumer Cyclical,Packaging & Containers
BAX,BAXTER INTERNATIONAL INC,Healthcare,Medical Instruments & Supplies
BBY,BEST BUY CO INC,Consumer Cyclical,Specialty Retail
BDX,BECTON DICKINSON AND CO,Healthcare,Medical Instruments & Supplies
BEN,FRANKLIN TEMPLETON INC,Financial Services,Asset Management
BF-B,BROWN FORMAN CORP CLASS B,Consumer Defensive,Beverages - Wineries & Distilleries
BG,BUNGE GLOBAL SA,Consumer Defensive,Farm Products
BIIB,BIOGEN INC,Healthcare,Drug Manufacturers - General
BKNG,BOOKING HOLDINGS INC,Consumer Cyclical,Travel Services
BKR,BAKER HUGHES CO,Energy,Oil & Gas Equipment & Services
BLDR,BUILDERS FIRSTSOURCE INC,Industrials,Building Products & Equipment
BLK,BLACKROCK INC,Financial Services,Asset Management
BMY,BRISTOL MYERS SQUIBB CO,Healthcare,Drug Manufacturers - General
BNY,BANK OF NEW YORK MELLON CORP,Financial Services,Banks - Diversified
BR,BROADRIDGE FINANCIAL SOLUTIO,Technology,Information Technology Services
BRK-B,BERKSHIRE HATHAWAY INC CL B,Financial Services,Insurance - Diversified
BRO,BROWN + BROWN INC,Financial Services,Insurance Brokers
BSX,BOSTON SCIENTIFIC CORP,Healthcare,Medical Devices
BX,BLACKSTONE INC,Financial Services,Asset Management
BXP,BXP INC,Real Estate,REIT - Office
C,CITIGROUP INC,Financial Services,Banks - Diversified
CAH,CARDINAL HEALTH INC,Healthcare,Medical Distribution
