date,ticker,close,volume,synthetic
2012-12-21,NVDA,133.2751,4663813,True
2012-12-24,NVDA,138.0013,5695528,True
2012-12-25,NVDA,138.8295,6165710,True
2012-12-26,NVDA,135.6551,9669636,True
2012-12-27,NVDA,134.4125,5982644,True
2012-12-28,NVDA,133.8051,5080464,True
2012-12-31,NVDA,137.5671,4291826,True
2013-01-01,NVDA,135.5325,5154649,True
2013-01-02,NVDA,137.2734,8192274,True
2013-01-03,NVDA,134.733,7916551,True
2013-01-04,NVDA,138.6149,8791941,True
2013-01-07,NVDA,141.9586,10821932,True
2013-01-08,NVDA,144.8379,6856923,True
2013-01-09,NVDA,142.6762,6428659,True
2013-01-10,NVDA,144.5018,6487816,True
2013-01-11,NVDA,145.0938,7516791,True
2013-01-14,NVDA,147.7064,5974191,True
2013-01-15,NVDA,144.5593,5865965,True
2013-01-16,NVDA,146.645,7722385,True
2013-01-17,NVDA,146.1129,8472576,True
2013-01-18,NVDA,145.5517,7689196,True
2013-01-21,NVDA,142.4592,7959561,True
2013-01-22,NVDA,142.1747,7025025,True
2013-01-23,NVDA,142.5383,7874427,True
2013-01-24,NVDA,139.3522,5661747,True
2013-01-25,NVDA,138.9689,4171804,True
2013-01-28,NVDA,137.1398,9300352,True
2013-01-29,NVDA,132.8545,7192198,True
2013-01-30,NVDA,127.2286,9381767,True
2013-01-31,NVDA,127.8244,12510578,True
2013-02-01,NVDA,129.3941,7397129,True
2013-02-04,NVDA,127.7378,7744110,True
2013-02-05,NVDA,127.5298,4919096,True
2013-02-06,NVDA,126.2087,6356044,True
2013-02-07,NVDA,126.2885,7803021,True
2013-02-08,NVDA,124.6984,4385600,True
2013-02-11,NVDA,126.2886,4390660,True
2013-02-12,NVDA,127.6637,10015530,True
2013-02-13,NVDA,127.8013,6597588,True
2013-02-14,NVDA,127.4029,7688266,True
2013-02-15,NVDA,127.5261,4058031,True
2013-02-18,NVDA,124.4991,6595678,True
2013-02-19,NVDA,124.414,8274457,True
2013-02-20,NVDA,123.6956,6005972,True
2013-02-21,NVDA,123.931,6972537,True
2013-02-22,NVDA,125.1397,5476950,True
2013-02-25,NVDA,126.6194,6698045,True
2013-02-26,NVDA,128.5448,10298768,True
2013-02-27,NVDA,127.9919,3837743,True
2013-02-28,NVDA,127.7016,3784918,True
2013-03-01,NVDA,131.2717,7784691,True
2013-03-04,NVDA,132.7336,11404598,True
2013-03-05,NVDA,130.2022,8362814,True
2013-03-06,NVDA,131.6798,7226430,True
2013-03-07,NVDA,133.4826,4782330,True
2013-03-08,NVDA,128.3122,6823345,True
2013-03-11,NVDA,127.0594,5670716,True
2013-03-12,NVDA,129.2579,4170517,True
2013-03-13,NVDA,123.6368,5483020,True
2013-03-14,NVDA,124.3085,5202108,True
2013-03-15,NVDA,122.5543,4847396,True
2013-03-18,NVDA,125.102,6382464,True
2013-03-19,NVDA,125.0814,6231031,True
2013-03-20,NVDA,123.6329,6478348,True
2013-03-21,NVDA,123.7897,7718106,True
2013-03-22,NVDA,122.9951,9054645,True
2013-03-25,NVDA,123.6962,10654421,True
2013-03-26,NVDA,125.1131,8708267,True
2013-03-27,NVDA,123.4081,5023641,True
2013-03-28,NVDA,123.1585,10574338,True
2013-03-29,NVDA,126.8334,7526262,True
2013-04-01,NVDA,126.4559,7425107,True
2013-04-02,NVDA,131.0802,8665552,True
2013-04-03,NVDA,133.7529,6064383,True
2013-04-04,NVDA,136.5873,7839326,True
2013-04-05,NVDA,139.6412,5206705,True
2013-04-08,NVDA,138.0278,7990970,True
2013-04-09,NVDA,138.6071,10871536,True
2013-04-10,NVDA,139.5566,6851980,True
2013-04-11,NVDA,138.7216,5520766,True
2013-04-12,NVDA,135.9748,8853026,True
2013-04-15,NVDA,135.3549,8957178,True
2013-04-16,NVDA,134.0919,6959784,True
2013-04-17,NVDA,138.2378,6130058,True
2013-04-18,NVDA,145.5546,7959456,True
2013-04-19,NVDA,144.3393,8097317,True
2013-04-22,NVDA,146.1838,6812218,True
2013-04-23,NVDA,141.7529,10441339,True
2013-04-24,NVDA,141.585,8614770,True
2013-04-25,NVDA,143.9957,9625097,True
2013-04-26,NVDA,144.7811,5491826,True
2013-04-29,NVDA,142.5942,5250949,True
2013-04-30,NVDA,141.3618,7763572,True
2013-05-01,NVDA,143.9546,6610870,True
2013-05-02,NVDA,145.7264,8804553,True
2013-05-03,NVDA,145.0448,5314156,True
2013-05-06,NVDA,144.6994,7074662,True
2013-05-07,NVDA,144.8449,6548619,True
2013-05-08,NVDA,145.5664,6054767,True
2013-05-09,NVDA,145.7176,9956500,True
2013-05-10,NVDA,144.0749,5864668,True
2013-05-13,NVDA,142.8047,6673604,True
