industry,shock_start,kind,severity
Semiconductors,2014-07-09,temporary,-0.19
Semiconductors,2021-12-15,temporary,-0.24
Semiconductor Materials & Equipment,2018-12-18,temporary,-0.21
Passenger Airlines,2015-04-16,temporary,-0.22
Passenger Airlines,2019-10-31,structural,-0.28
"Hotels, Resorts & Cruise Lines",2017-10-20,structural,-0.31
"Hotels, Resorts & Cruise Lines",2023-03-20,temporary,-0.18
Regional Banks,2017-02-15,temporary,-0.17
Regional Banks,2021-02-01,temporary,-0.2
Regional Banks,2025-01-17,structural,-0.23
Oil & Gas Equipment & Services,2015-12-21,structural,-0.26
Oil & Gas Equipment & Services,2023-10-17,temporary,-0.16
